id,title,subtitle,location,capacity,bookings,sponsored,tags
199,Spa Day,A day of pampering and relaxation,"Mississauga (43.589045° N, 79.644120° W)",118,30,TRUE,"Sustainability, Operations"
200,Craft Fair,Discover one-of-a-kind crafts,"Kingston (44.231172° N, 76.485954° W)",144,62,FALSE,"Environment, Leadership, Logistics"
201,Craft Fair,Explore the best in handmade,"Brampton (43.731547° N, 79.762418° W)",195,157,FALSE,"Environment, AI, Innovation, Logistics, Sustainability"
202,Stand-up Comedy Night,Enjoy hilarious performances,"Hamilton (43.255721° N, 79.871102° W)",309,58,FALSE,"Leadership, Social Impact, Innovation, Sustainability, AI"
203,Street Food Festival,A street food lover's dream,"Mississauga (43.589045° N, 79.644120° W)",450,259,FALSE,"Sustainability, Innovation"
204,Spa Day,A day of pampering and relaxation,"Niagara Falls (43.089558° N, 79.084944° W)",360,323,TRUE,"Data Science, Supply Chain, Social Impact, Sustainability, Innovation"
205,Historical Walking Tour,A walk through the past,"Toronto (43.651070° N, 79.347015° W)",445,167,TRUE,"Technology, Data Science, Environment, Operations, Supply Chain"
206,Photography Walk,Capture beautiful moments,"London (42.984924° N, 81.245277° W)",473,404,TRUE,"Supply Chain, Data Science, Technology, Innovation"
207,Art Workshop,Unleash your inner artist,"Mississauga (43.589045° N, 79.644120° W)",323,45,FALSE,"Environment, Innovation"
208,City Tour,Explore the city’s landmarks,"Hamilton (43.255721° N, 79.871102° W)",456,36,TRUE,"AI, Blockchain, Technology"
209,Brewery Tour,Learn the brewing process,"Mississauga (43.589045° N, 79.644120° W)",70,58,FALSE,"Sustainability, Innovation, Leadership, Social Impact"
210,Art Workshop,Unleash your inner artist,"Kingston (44.231172° N, 76.485954° W)",452,3,FALSE,"Sustainability, AI"
211,City Tour,Explore the city’s landmarks,"Hamilton (43.255721° N, 79.871102° W)",86,79,FALSE,"Operations, Technology"
212,Yoga Retreat,A day of relaxation,"Mississauga (43.589045° N, 79.644120° W)",470,464,TRUE,"Data Science, Operations, Logistics"
213,City Tour,A guided tour of history,"Brampton (43.731547° N, 79.762418° W)",284,17,TRUE,"Operations, Leadership, Data Science, Blockchain"
214,Picnic in the Park,Enjoy a meal outdoors,"Kitchener (43.451639° N, 80.492533° W)",453,367,TRUE,"Operations, Sustainability, Social Impact, Environment"
215,Brewery Tour,Sip and savor the best brews,"Windsor (42.314937° N, 83.036363° W)",239,233,TRUE,"Technology, Environment, Data Science, Operations, Sustainability"
216,Street Food Festival,A feast of food trucks and vendors,"Windsor (42.314937° N, 83.036363° W)",266,12,TRUE,"Operations, Environment, AI, Innovation"
217,Craft Fair,Explore the best in handmade,"London (42.984924° N, 81.245277° W)",140,109,FALSE,"Technology, Supply Chain, Leadership, Environment"
218,Outdoor Movie Screening,Relax and enjoy a film outdoors,"Mississauga (43.589045° N, 79.644120° W)",240,83,TRUE,"Technology, AI, Leadership"
219,Stand-up Comedy Night,Enjoy hilarious performances,"Mississauga (43.589045° N, 79.644120° W)",203,17,TRUE,"Social Impact, Supply Chain"
220,Canoe Trip,A scenic water adventure,"Kitchener (43.451639° N, 80.492533° W)",307,83,TRUE,"Social Impact, AI, Operations, Environment"
221,Picnic in the Park,Enjoy a meal outdoors,"Hamilton (43.255721° N, 79.871102° W)",345,223,TRUE,"Leadership, Environment"
222,Farmers Market,Discover organic products,"Toronto (43.651070° N, 79.347015° W)",280,29,FALSE,"Data Science, Social Impact, Leadership, Blockchain, Technology"
223,Street Food Festival,Taste dishes from around the world,"Kitchener (43.451639° N, 80.492533° W)",225,203,FALSE,"Social Impact, Blockchain, Operations, Leadership, Sustainability"
224,Art Workshop,Explore creative techniques,"Toronto (43.651070° N, 79.347015° W)",142,11,TRUE,"Data Science, Technology"
225,Outdoor Movie Screening,Relax and enjoy a film outdoors,"Niagara Falls (43.089558° N, 79.084944° W)",472,468,FALSE,"Sustainability, Innovation"
226,Yoga Retreat,Rejuvenate your mind and body,"London (42.984924° N, 81.245277° W)",269,115,FALSE,"Data Science, Blockchain, Environment"
227,Yoga Retreat,Rejuvenate your mind and body,"Niagara Falls (43.089558° N, 79.084944° W)",57,50,FALSE,"Leadership, Operations, Sustainability"
228,Art Workshop,Create your own masterpiece,"Kingston (44.231172° N, 76.485954° W)",466,437,FALSE,"Sustainability, Logistics, Blockchain, Technology, Operations"
229,City Tour,A guided tour of history,"London (42.984924° N, 81.245277° W)",179,3,TRUE,"Social Impact, Supply Chain, Sustainability"
230,Spa Day,A day of pampering and relaxation,"Hamilton (43.255721° N, 79.871102° W)",244,220,TRUE,"Technology, Logistics"
231,Photography Walk,Photography tips from experts,"Ottawa (45.421530° N, 75.697193° W)",245,7,FALSE,"Social Impact, Sustainability, Operations"
232,Craft Fair,Explore the best in handmade,"Toronto (43.651070° N, 79.347015° W)",257,25,TRUE,"Technology, Blockchain"
233,Craft Fair,Discover one-of-a-kind crafts,"London (42.984924° N, 81.245277° W)",155,72,TRUE,"Operations, Data Science"
234,Spa Day,Unwind with a massage,"Mississauga (43.589045° N, 79.644120° W)",93,28,FALSE,"Sustainability, Social Impact, Blockchain, AI, Innovation"
235,Music Festival,A day of music and fun,"Windsor (42.314937° N, 83.036363° W)",74,22,TRUE,"Leadership, Data Science, Operations, Sustainability"
236,Historical Walking Tour,Explore the city’s history,"Mississauga (43.589045° N, 79.644120° W)",51,5,FALSE,"Blockchain, Sustainability, Social Impact, Environment"
237,Craft Fair,Discover one-of-a-kind crafts,"Toronto (43.651070° N, 79.347015° W)",494,303,TRUE,"Logistics, AI"
238,Stand-up Comedy Night,Comedy that will make your day,"Mississauga (43.589045° N, 79.644120° W)",182,156,FALSE,"Logistics, Technology"
239,Historical Walking Tour,Step back in time,"Ottawa (45.421530° N, 75.697193° W)",401,59,TRUE,"Supply Chain, Data Science, Social Impact, AI"
240,Street Food Festival,Savor global street food flavors,"Kitchener (43.451639° N, 80.492533° W)",116,76,TRUE,"Operations, Blockchain, Supply Chain"
241,Craft Fair,Discover one-of-a-kind crafts,"Toronto (43.651070° N, 79.347015° W)",295,124,TRUE,"Data Science, Logistics, Operations, Sustainability"
242,Street Food Festival,A feast of food trucks and vendors,"Hamilton (43.255721° N, 79.871102° W)",457,118,FALSE,"Social Impact, Operations, Supply Chain, AI"
243,Farmers Market,Local farmers and fresh food,"Windsor (42.314937° N, 83.036363° W)",490,349,FALSE,"Supply Chain, Logistics, Innovation, Leadership, Sustainability"
244,Hiking Adventure,Hike to stunning views,"Ottawa (45.421530° N, 75.697193° W)",119,59,FALSE,"Technology, Logistics, Social Impact"
245,Spa Day,Treat yourself to a spa day,"London (42.984924° N, 81.245277° W)",495,469,TRUE,"Technology, Data Science, Innovation, Supply Chain"
246,Craft Fair,Explore the best in handmade,"Mississauga (43.589045° N, 79.644120° W)",84,76,TRUE,"Leadership, Social Impact"
247,Spa Day,Unwind with a massage,"Niagara Falls (43.089558° N, 79.084944° W)",180,150,TRUE,"AI, Supply Chain, Environment"
248,City Tour,Wander through the city,"Toronto (43.651070° N, 79.347015° W)",90,61,FALSE,"AI, Blockchain, Environment, Social Impact"
249,Music Festival,A celebration of sound,"Hamilton (43.255721° N, 79.871102° W)",208,126,TRUE,"Technology, Supply Chain, Logistics, Leadership"
250,Cooking Class,Learn to make gourmet dishes,"Niagara Falls (43.089558° N, 79.084944° W)",196,137,TRUE,"Supply Chain, Logistics, Leadership, Innovation"
251,Brewery Tour,A tour of local breweries,"Kitchener (43.451639° N, 80.492533° W)",90,49,TRUE,"Data Science, Logistics, AI, Environment, Sustainability"
252,Wine Tasting,Explore regional wines,"Hamilton (43.255721° N, 79.871102° W)",448,98,TRUE,"Social Impact, Blockchain, Technology, Operations"
253,Photography Walk,Photography tips from experts,"Ottawa (45.421530° N, 75.697193° W)",162,133,TRUE,"Innovation, Data Science, Operations, AI, Sustainability"
254,Beach Bonfire,A night with friends and s’mores,"Ottawa (45.421530° N, 75.697193° W)",155,126,TRUE,"Data Science, Sustainability, Supply Chain, Technology, Environment"
255,Brewery Tour,A tour of local breweries,"Windsor (42.314937° N, 83.036363° W)",221,139,TRUE,"Logistics, Innovation, Leadership, Blockchain"
256,Brewery Tour,Sip and savor the best brews,"Toronto (43.651070° N, 79.347015° W)",256,204,TRUE,"Blockchain, Innovation, Operations"
257,Beach Bonfire,Enjoy a cozy evening by the fire,"Kingston (44.231172° N, 76.485954° W)",422,383,TRUE,"Leadership, Sustainability, AI"
258,Yoga Retreat,A day of relaxation,"Ottawa (45.421530° N, 75.697193° W)",179,167,TRUE,"Technology, Social Impact, Leadership, Operations, Blockchain"
259,Yoga Retreat,Find your inner peace,"Brampton (43.731547° N, 79.762418° W)",376,287,TRUE,"Blockchain, AI, Supply Chain, Logistics, Technology"
260,Craft Fair,Discover one-of-a-kind crafts,"Niagara Falls (43.089558° N, 79.084944° W)",181,15,TRUE,"Environment, AI, Innovation, Operations"
261,Craft Fair,Discover one-of-a-kind crafts,"Brampton (43.731547° N, 79.762418° W)",463,386,FALSE,"Environment, Social Impact, Innovation, Technology"
262,Stand-up Comedy Night,Enjoy hilarious performances,"Kitchener (43.451639° N, 80.492533° W)",251,217,FALSE,"AI, Social Impact"
263,Craft Fair,Discover one-of-a-kind crafts,"Ottawa (45.421530° N, 75.697193° W)",384,357,TRUE,"Environment, Data Science, Operations, Innovation"
264,Yoga Retreat,Stretch and relax,"Windsor (42.314937° N, 83.036363° W)",358,25,TRUE,"Data Science, Innovation, AI, Supply Chain"
265,Wine Tasting,Explore regional wines,"Ottawa (45.421530° N, 75.697193° W)",187,47,TRUE,"Operations, Innovation, Technology, Blockchain, Data Science"
266,City Tour,Discover hidden gems,"London (42.984924° N, 81.245277° W)",192,10,TRUE,"Sustainability, Leadership, Operations, Innovation, Environment"
267,Picnic in the Park,Relax and dine in nature,"Mississauga (43.589045° N, 79.644120° W)",90,44,TRUE,"Leadership, Technology, Logistics, Blockchain, Sustainability"
268,Picnic in the Park,A relaxing afternoon with food,"Brampton (43.731547° N, 79.762418° W)",109,25,FALSE,"Operations, Innovation, Supply Chain"
269,Brewery Tour,A tour of local breweries,"London (42.984924° N, 81.245277° W)",198,100,TRUE,"Social Impact, Environment, AI, Technology, Sustainability"
270,Brewery Tour,Learn the brewing process,"Windsor (42.314937° N, 83.036363° W)",404,121,FALSE,"Supply Chain, Technology, Data Science, Sustainability, AI"
271,Spa Day,Treat yourself to a spa day,"Mississauga (43.589045° N, 79.644120° W)",395,196,TRUE,"AI, Supply Chain, Environment"
272,Beach Bonfire,Enjoy a cozy evening by the fire,"Kitchener (43.451639° N, 80.492533° W)",364,102,FALSE,"Data Science, Technology"
273,Beach Bonfire,A night with friends and s’mores,"Kitchener (43.451639° N, 80.492533° W)",161,130,FALSE,"Innovation, Social Impact, Supply Chain"
274,Farmers Market,A day at the market,"Kitchener (43.451639° N, 80.492533° W)",269,225,FALSE,"Innovation, AI, Environment, Operations"
275,Beach Bonfire,A night with friends and s’mores,"Niagara Falls (43.089558° N, 79.084944° W)",212,198,FALSE,"AI, Operations, Logistics, Environment"
276,Picnic in the Park,Enjoy a meal outdoors,"Kingston (44.231172° N, 76.485954° W)",400,172,FALSE,"Social Impact, Leadership, Technology"
277,Music Festival,Dance to the best tunes,"Niagara Falls (43.089558° N, 79.084944° W)",448,394,TRUE,"Sustainability, Social Impact, Operations, Environment, Logistics"
278,Music Festival,Dance to the best tunes,"Toronto (43.651070° N, 79.347015° W)",80,3,TRUE,"Leadership, Operations, Logistics, Blockchain"
279,Wine Tasting,Wine and cheese pairing,"Windsor (42.314937° N, 83.036363° W)",364,301,FALSE,"AI, Data Science, Blockchain"
280,Spa Day,A day of pampering and relaxation,"London (42.984924° N, 81.245277° W)",54,29,FALSE,"Innovation, Environment, Data Science, Supply Chain"
281,Music Festival,Dance to the best tunes,"Ottawa (45.421530° N, 75.697193° W)",168,63,FALSE,"Data Science, Innovation"
282,Yoga Retreat,Stretch and relax,"London (42.984924° N, 81.245277° W)",228,112,TRUE,"Environment, Logistics, Data Science, Sustainability"
283,Wine Tasting,A tour of local vineyards,"Brampton (43.731547° N, 79.762418° W)",93,55,TRUE,"Sustainability, Logistics, Supply Chain"
284,Spa Day,A day of pampering and relaxation,"Kitchener (43.451639° N, 80.492533° W)",149,101,FALSE,"Innovation, Supply Chain, AI, Operations"
285,Food Truck Fair,Taste the best street food,"Toronto (43.651070° N, 79.347015° W)",365,52,FALSE,"Blockchain, Supply Chain, Technology"
286,Craft Fair,Explore the best in handmade,"Brampton (43.731547° N, 79.762418° W)",83,62,FALSE,"Operations, Social Impact"
287,Historical Walking Tour,A walk through the past,"Ottawa (45.421530° N, 75.697193° W)",481,294,FALSE,"Blockchain, Leadership, Innovation, Operations, Logistics"
288,Food Truck Fair,A food lover’s paradise,"Ottawa (45.421530° N, 75.697193° W)",487,416,TRUE,"AI, Innovation"
289,City Tour,Explore the city’s landmarks,"Hamilton (43.255721° N, 79.871102° W)",116,36,TRUE,"Data Science, Blockchain, Logistics, AI"
290,Spa Day,Treat yourself to a spa day,"Niagara Falls (43.089558° N, 79.084944° W)",203,168,TRUE,"Blockchain, Data Science, Social Impact"
291,Beach Bonfire,Watch the sunset by the beach,"Niagara Falls (43.089558° N, 79.084944° W)",337,133,TRUE,"Logistics, Social Impact, Environment, AI"
292,Hiking Adventure,Hike to stunning views,"Mississauga (43.589045° N, 79.644120° W)",222,88,FALSE,"Blockchain, Sustainability, AI, Environment, Innovation"
293,Wine Tasting,Explore regional wines,"Kitchener (43.451639° N, 80.492533° W)",394,153,TRUE,"Operations, Social Impact, Supply Chain, Leadership"
294,Yoga Retreat,Find your inner peace,"Brampton (43.731547° N, 79.762418° W)",491,350,FALSE,"Logistics, Operations, Supply Chain, Leadership, AI"
295,Food Truck Fair,Savor flavors from around the world,"Windsor (42.314937° N, 83.036363° W)",200,126,TRUE,"Blockchain, Sustainability, Operations, Logistics, AI"
296,Craft Fair,Handmade goods and unique finds,"Mississauga (43.589045° N, 79.644120° W)",288,125,FALSE,"Social Impact, Technology, Logistics, Blockchain"
297,Hiking Adventure,Hike to stunning views,"Niagara Falls (43.089558° N, 79.084944° W)",487,113,FALSE,"Blockchain, Supply Chain"
298,City Tour,A guided tour of history,"Kitchener (43.451639° N, 80.492533° W)",447,95,TRUE,"Data Science, Technology, Leadership"
299,Food Truck Fair,Savor flavors from around the world,"Kingston (44.231172° N, 76.485954° W)",185,156,TRUE,"Environment, Sustainability"
300,Farmers Market,Shop fresh local produce,"Brampton (43.731547° N, 79.762418° W)",358,48,TRUE,"Leadership, Environment"
